chunk,chunk,chunk,chunk,chunk,chunk,chunk,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc
key,chunk_index,start_index,end_index,start_date,end_date,period,value,sampling_error,realized,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
[0:4999],0,0,4999,2018-01-01 00:00:00,2018-01-31 06:27:16.848,reference,0.971219407835842,0.001810716355923401,0.976253421229159,0.9766515569036123,0.9657872587680718,0.9786597341713761,0.963316535948479,False
[5000:9999],1,5000,9999,2018-01-31 06:36:00,2018-03-02 13:03:16.848,reference,0.9710519629894895,0.001810716355923401,0.969045372893087,0.9764841120572597,0.9656198139217192,0.9786597341713761,0.963316535948479,False
[10000:14999],2,10000,14999,2018-03-02 13:12:00,2018-04-01 19:39:16.848,reference,0.9709846508386212,0.001810716355923401,0.9717424542454245,0.9764167999063914,0.965552501770851,0.9786597341713761,0.963316535948479,False
[15000:19999],3,15000,19999,2018-04-01 19:48:00,2018-05-02 02:15:16.848,reference,0.9711957682439227,0.001810716355923401,0.9716415018505611,0.976627917311693,0.9657636191761525,0.9786597341713761,0.963316535948479,False
[20000:24999],4,20000,24999,2018-05-02 02:24:00,2018-06-01 08:51:16.848,reference,0.9710543945774198,0.001810716355923401,0.9690851895048956,0.97648654364519,0.9656222455096496,0.9786597341713761,0.963316535948479,False
[25000:29999],5,25000,29999,2018-06-01 09:00:00,2018-07-01 15:27:16.848,reference,0.9710648791663207,0.001810716355923401,0.9673635705396104,0.9764970282340909,0.9656327300985504,0.9786597341713761,0.963316535948479,False
[30000:34999],6,30000,34999,2018-07-01 15:36:00,2018-07-31 22:03:16.848,reference,0.9708798344694879,0.001810716355923401,0.9686915198502908,0.9763119835372581,0.9654476854017177,0.9786597341713761,0.963316535948479,False
[35000:39999],7,35000,39999,2018-07-31 22:12:00,2018-08-31 04:39:16.848,reference,0.9711726548626174,0.001810716355923401,0.9702049135212074,0.9766048039303876,0.9657405057948472,0.9786597341713761,0.963316535948479,False
[40000:44999],8,40000,44999,2018-08-31 04:48:00,2018-09-30 11:15:16.848,reference,0.9713193945578272,0.001810716355923401,0.9740964496449644,0.9767515436255975,0.965887245490057,0.9786597341713761,0.963316535948479,False
[45000:49999],9,45000,49999,2018-09-30 11:24:00,2018-10-30 17:51:16.848,reference,0.9711400866794474,0.001810716355923401,0.9717569573200742,0.9765722357472176,0.9657079376116772,0.9786597341713761,0.963316535948479,False
[0:4999],0,0,4999,2018-10-30 18:00:00,2018-11-30 00:27:16.848,analysis,0.9707549113643061,0.001810716355923401,,0.9761870604320764,0.9653227622965359,0.9786597341713761,0.963316535948479,False
[5000:9999],1,5000,9999,2018-11-30 00:36:00,2018-12-30 07:03:16.848,analysis,0.9710224276197865,0.001810716355923401,,0.9764545766875568,0.9655902785520163,0.9786597341713761,0.963316535948479,False
[10000:14999],2,10000,14999,2018-12-30 07:12:00,2019-01-29 13:39:16.848,analysis,0.9714183710230127,0.001810716355923401,,0.9768505200907829,0.9659862219552424,0.9786597341713761,0.963316535948479,False
[15000:19999],3,15000,19999,2019-01-29 13:48:00,2019-02-28 20:15:16.848,analysis,0.9711031289261209,0.001810716355923401,,0.9765352779938912,0.9656709798583507,0.9786597341713761,0.963316535948479,False
[20000:24999],4,20000,24999,2019-02-28 20:24:00,2019-03-31 02:51:16.848,analysis,0.9711345926265325,0.001810716355923401,,0.9765667416943027,0.9657024435587622,0.9786597341713761,0.963316535948479,False
[25000:29999],5,25000,29999,2019-03-31 03:00:00,2019-04-30 09:27:16.848,analysis,0.9611051833769545,0.001810716355923401,,0.9665373324447247,0.9556730343091843,0.9786597341713761,0.963316535948479,True
[30000:34999],6,30000,34999,2019-04-30 09:36:00,2019-05-30 16:03:16.848,analysis,0.9618393909078314,0.001810716355923401,,0.9672715399756017,0.9564072418400612,0.9786597341713761,0.963316535948479,True
[35000:39999],7,35000,39999,2019-05-30 16:12:00,2019-06-29 22:39:16.848,analysis,0.9610884839447085,0.001810716355923401,,0.9665206330124787,0.9556563348769382,0.9786597341713761,0.963316535948479,True
[40000:44999],8,40000,44999,2019-06-29 22:48:00,2019-07-30 05:15:16.848,analysis,0.9625480927168266,0.001810716355923401,,0.9679802417845969,0.9571159436490564,0.9786597341713761,0.963316535948479,True
[45000:49999],9,45000,49999,2019-07-30 05:24:00,2019-08-29 11:51:16.848,analysis,0.9613306854392768,0.001810716355923401,,0.966762834507047,0.9558985363715066,0.9786597341713761,0.963316535948479,True
